"X100m","X200m","X400m","X800m","X1500m","X5000m","X10000m","marathon"
10.23,20.37,46.18,106.2,220.8,799.8,1659,7774.2
9.93,20.06,44.38,104.4,211.8,775.8,1651.8,7650.6
10.15,20.45,45.8,106.2,214.8,795.6,1663.2,7933.2
10.14,20.19,45.02,103.8,214.2,769.8,1612.2,7632
10.27,20.3,45.26,107.4,222,878.4,1829.4,8782.2
10,19.89,44.29,102,214.2,808.8,1687.8,7563
9.84,20.17,44.72,105,211.8,793.8,1656,7805.4
10.1,20.15,45.92,105.6,219,803.4,1685.4,7931.4
10.17,20.42,45.25,106.2,216.6,805.2,1690.2,7750.8
10.29,20.85,45.84,108,223.2,809.4,1672.8,7870.2
10.97,22.46,51.4,116.4,254.4,1002,2122.8,10275.6
10.32,20.96,46.42,112.2,230.4,825,1728.6,7993.8
10.24,20.61,45.77,105,214.8,805.2,1668,7894.2
10.29,20.52,45.89,101.4,211.2,805.2,1674.6,7765.8
10.16,20.65,44.9,108.6,223.8,858.6,1825.8,8760
10.21,20.47,45.49,104.4,216.6,796.2,1651.2,7869
10.02,20.16,44.64,103.2,208.8,778.8,1642.8,7581.6
10.06,20.23,44.33,103.8,211.8,774.6,1641.6,7708.2
9.87,19.94,44.36,102,209.4,780.6,1638,7627.8
10.11,19.85,45.57,105,216.6,808.8,1687.2,7922.4
10.32,21.09,48.44,109.2,224.4,838.8,1760.4,7951.8
10.08,20.11,45.43,105.6,215.4,807,1681.8,7926
10.33,20.73,45.48,105.6,217.8,810,1728.6,7920
10.2,20.93,46.37,109.8,226.2,852.6,1779,8350.8
10.35,20.54,45.58,105,213.6,784.2,1666.8,7749
10.2,20.89,46.59,108,222,819.6,1723.2,8052.6
10.01,19.72,45.26,103.8,213,785.4,1636.8,7637.4
10,20.03,44.78,106.2,217.2,793.2,1654.8,7569.6
10.28,20.43,44.18,102,206.4,759.6,1587.6,7473
10.34,20.41,45.37,104.4,218.4,830.4,1710.6,7632
10.6,21.23,46.95,109.2,226.2,834,1707,7755.6
10.41,20.77,47.9,105.6,220.2,818.4,1726.2,8041.8
10.3,20.92,46.41,107.4,225.6,846.6,1770,8956.2
10.13,20.06,44.69,108,229.8,849,1790.4,8584.2
10.21,20.4,44.31,106.8,217.8,787.8,1628.4,7631.4
10.64,21.52,48.63,108,228,851.4,1777.2,8374.2
10.19,20.19,45.68,103.8,213,793.2,1646.4,7698.6
10.11,20.42,46.09,104.4,212.4,792.6,1662,7715.4
10.08,20.17,46.11,102.6,217.2,786.6,1652.4,7810.2
10.4,21.18,46.77,108,240,883.2,1881.6,8887.8
10.57,21.43,45.57,108,229.2,838.2,1742.4,8306.4
10,19.98,44.62,103.2,215.4,797.4,1673.4,7753.8
9.86,20.12,46.11,105,210,783,1632.6,7581.6
10.21,20.75,45.77,105.6,214.2,795,1660.2,7938
10.11,20.23,44.6,102.6,212.4,792,1674,7749.6
10.78,21.86,49.98,116.4,240.6,976.8,2082.6,9690
10.37,21.14,47.6,110.4,231.6,897.6,1879.2,8653.2
10.17,20.59,44.96,103.8,208.8,782.4,1634.4,7633.8
10.18,20.43,45.54,105.6,216.6,797.4,1675.8,7822.8
10.16,20.41,44.99,102.6,211.8,787.8,1674,7773.6
10.36,20.81,46.72,107.4,226.2,834.6,1752,8061
10.23,20.69,46.05,108.6,226.2,855,1780.2,8359.8
10.38,21.04,46.63,106.8,215.4,807,1699.8,7815
9.78,19.32,43.18,102.6,207.6,778.2,1633.8,7522.8
